Date,Shadow Value,day,month,year,month_year
2023-04-01,366,1,4,2023,Apr-2023
2023-04-02,365,2,4,2023,Apr-2023
2023-04-03,364,3,4,2023,Apr-2023
2023-04-04,363,4,4,2023,Apr-2023
2023-04-05,362,5,4,2023,Apr-2023
2023-04-06,361,6,4,2023,Apr-2023
2023-04-07,360,7,4,2023,Apr-2023
2023-04-08,359,8,4,2023,Apr-2023
2023-04-09,358,9,4,2023,Apr-2023
2023-04-10,357,10,4,2023,Apr-2023
2023-04-11,356,11,4,2023,Apr-2023
2023-04-12,355,12,4,2023,Apr-2023
2023-04-13,354,13,4,2023,Apr-2023
2023-04-14,353,14,4,2023,Apr-2023
2023-04-15,352,15,4,2023,Apr-2023
2023-04-16,351,16,4,2023,Apr-2023
2023-04-17,350,17,4,2023,Apr-2023
2023-04-18,349,18,4,2023,Apr-2023
2023-04-19,348,19,4,2023,Apr-2023
2023-04-20,347,20,4,2023,Apr-2023
2023-04-21,346,21,4,2023,Apr-2023
2023-04-22,345,22,4,2023,Apr-2023
2023-04-23,344,23,4,2023,Apr-2023
2023-04-24,343,24,4,2023,Apr-2023
2023-04-25,342,25,4,2023,Apr-2023
2023-04-26,341,26,4,2023,Apr-2023
2023-04-27,340,27,4,2023,Apr-2023
2023-04-28,339,28,4,2023,Apr-2023
2023-04-29,338,29,4,2023,Apr-2023
2023-04-30,337,30,4,2023,Apr-2023
2023-05-01,336,1,5,2023,May-2023
2023-05-02,335,2,5,2023,May-2023
2023-05-03,334,3,5,2023,May-2023
2023-05-04,333,4,5,2023,May-2023
2023-05-05,332,5,5,2023,May-2023
2023-05-06,331,6,5,2023,May-2023
2023-05-07,330,7,5,2023,May-2023
2023-05-08,329,8,5,2023,May-2023
2023-05-09,328,9,5,2023,May-2023
2023-05-10,327,10,5,2023,May-2023
2023-05-11,326,11,5,2023,May-2023
2023-05-12,325,12,5,2023,May-2023
2023-05-13,324,13,5,2023,May-2023
2023-05-14,323,14,5,2023,May-2023
2023-05-15,322,15,5,2023,May-2023
2023-05-16,321,16,5,2023,May-2023
2023-05-17,320,17,5,2023,May-2023
2023-05-18,319,18,5,2023,May-2023
2023-05-19,318,19,5,2023,May-2023
2023-05-20,317,20,5,2023,May-2023
2023-05-21,316,21,5,2023,May-2023
2023-05-22,315,22,5,2023,May-2023
2023-05-23,314,23,5,2023,May-2023
2023-05-24,313,24,5,2023,May-2023
2023-05-25,312,25,5,2023,May-2023
2023-05-26,311,26,5,2023,May-2023
2023-05-27,310,27,5,2023,May-2023
2023-05-28,309,28,5,2023,May-2023
2023-05-29,308,29,5,2023,May-2023
2023-05-30,307,30,5,2023,May-2023
2023-05-31,306,31,5,2023,May-2023
2023-06-01,305,1,6,2023,Jun-2023
2023-06-02,304,2,6,2023,Jun-2023
2023-06-03,303,3,6,2023,Jun-2023
2023-06-04,302,4,6,2023,Jun-2023
2023-06-05,301,5,6,2023,Jun-2023
